Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 208: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1672
Generation 209: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1680
Generation 210: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1688
Generation 211: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1696
Generation 212: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1704
Generation 213: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1712
Generation 214: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1720
Generation 215: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1728
Generation 216: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1736
Generation 217: Best Solution = [-1.22925084e-22  9.21129301e-24], Best Fitness = 1.5195424229312222e-44, Evaluations = 1744
Generation 218: Best Solution = [7.71735668e-25 1.63864871e-23], Best Fitness = 2.691125342133957e-46, Evaluations = 1752
Generation 219: Best Solution = [7.71735668e-25 1.63864871e-23], Best Fitness = 2.691125342133957e-46, Evaluations = 1760
Generation 220: Best Solution = [7.71735668e-25 1.63864871e-23], Best Fitness = 2.691125342133957e-46, Evaluations = 1768
Generation 221: Best Solution = [-1.23384011e-23 -7.38025585e-26], Best Fitness = 1.5224158787474088e-46, Evaluations = 1776
Generation 222: Best Solution = [-1.23384011e-23 -7.38025585e-26], Best Fitness = 1.5224158787474088e-46, Evaluations = 1784
Generation 223: Best Solution = [ 8.38523002e-24 -2.87020028e-24], Best Fitness = 7.855013218735299e-47, Evaluations = 1792
Generation 224: Best Solution = [ 8.38523002e-24 -2.87020028e-24], Best Fitness = 7.855013218735299e-47, Evaluations = 1800
Generation 225: Best Solution = [ 8.38523002e-24 -2.87020028e-24], Best Fitness = 7.855013218735299e-47, Evaluations = 1808
